run,process,part,argument,duration
1,index,embed,02 - Foundations,0.3314390182495117
1,index,store,02 - Foundations,0.009343385696411133
1,index,embed,03 - Moving Beyond the Relational Model,0.284771203994751
1,index,store,03 - Moving Beyond the Relational Model,0.013569116592407227
1,index,embed,04 - Data Replication,0.35217928886413574
1,index,store,04 - Data Replication,0.019194841384887695
1,index,embed,05 - NoSQL Intro + KV DBs,0.5003161430358887
1,index,store,05 - NoSQL Intro + KV DBs,0.02344059944152832
1,index,embed,06 - Redis + Python,0.19713521003723145
1,index,store,06 - Redis + Python,0.009044647216796875
1,index,embed,07 - Document DBs and Mongo,0.48208069801330566
1,index,store,07 - Document DBs and Mongo,0.02240729331970215
1,index,embed,08 - PyMongo,0.1061394214630127
1,index,store,08 - PyMongo,0.004683732986450195
1,index,embed,09 - Introduction to Graph Data Model,0.31082653999328613
1,index,store,09 - Introduction to Graph Data Model,0.01611161231994629
1,index,embed,10 - Neo4j,0.29149675369262695
1,index,store,10 - Neo4j,0.016111135482788086
1,index,embed,11 - AWS Intro,0.22997689247131348
1,index,store,11 - AWS Intro,0.01045536994934082
1,index,embed,12 - EC2 & Lambda,0.3424949645996094
1,index,store,12 - EC2 & Lambda,0.01461172103881836
1,index,embed,B- Trees Notes,0.0871574878692627
1,index,store,B- Trees Notes,0.005108356475830078
1,index,embed,DS4300 Notes E1,0.09823226928710938
1,index,store,DS4300 Notes E1,0.006211042404174805
1,search,embed,What is the capital of France?,0.015062093734741211
1,search,query,What is the capital of France?,0.0010247230529785156
1,search,embed,What does the C stand for in ACID?,0.02290177345275879
1,search,query,What does the C stand for in ACID?,0.0010297298431396484
1,search,embed,What type of database is Neo4j?,0.011101007461547852
1,search,query,What type of database is Neo4j?,0.0015287399291992188
1,search,embed,Who created MongoDB?,0.011268377304077148
1,search,query,Who created MongoDB?,0.001004934310913086
1,search,embed,Which is faster for random access: a linked list or an array?,0.011453628540039062
1,search,query,Which is faster for random access: a linked list or an array?,0.0005438327789306641
2,index,embed,02 - Foundations,0.1747739315032959
2,index,store,02 - Foundations,1.1142771244049072
2,index,embed,03 - Moving Beyond the Relational Model,0.42771387100219727
2,index,store,03 - Moving Beyond the Relational Model,1.7803699970245361
2,index,embed,04 - Data Replication,0.7616589069366455
2,index,store,04 - Data Replication,1.923081398010254
2,index,embed,05 - NoSQL Intro + KV DBs,1.6695530414581299
2,index,store,05 - NoSQL Intro + KV DBs,2.804980754852295
2,index,embed,06 - Redis + Python,0.6704189777374268
2,index,store,06 - Redis + Python,1.1226568222045898
